iterations       power from maximum power to 0            a            b            c            x        error         time
113.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016654
113.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016658
114.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016668
114.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016672
115.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016683
115.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016686
116.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016696
116.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016700
117.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016711
117.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016715
118.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016725
118.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016728
119.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016739
119.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016743
120.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016753
120.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016758
121.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016769
121.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016774
122.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016784
122.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016789
123.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016799
123.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016804
124.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016815
124.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016819
125.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016830
125.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016834
126.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016844
